5/17/2023,Jun-23,OCR ,GCE ,Y138/01 ,(History) ,The Early Stuarts and the Origins of the Civil War 1603-1660:Written Paper ,PM ,1h 30m 
5/17/2023,Jun-23,OCR ,GCE ,Y143/01 ,(History) ,Britain 1930-1997:Written Paper ,PM ,1h 30m 
6/13/2023,Jun-23,OCR ,GCE ,Y201/01 ,(History) ,The Rise of Islam c.550-750:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y202/01 ,(History) ,Charlemagne 768-814:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y203/01 ,(History) ,The Crusades and the Crusader States 1095-1192:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y204/01 ,(History) ,Genghis Khan and the Explosion from the Steppes c.1167-1405:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y205/01 ,(History) ,"Exploration, Encounters and Empire 1445-1570:Written Paper ",AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y206/01 ,(History) ,Spain 1469-1556:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y207/01 ,(History) ,The German Reformation and the Rule of Charles V 1500-1559:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y208/01 ,(History) ,Philip II 1556-1598:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y209/01 ,(History) ,African Kingdoms c.1400-c.1800: four case studies:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y210/01 ,(History) ,Russia 1645-1741:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y211/01 ,(History) ,The Rise and Decline of the Mughal Empire in India 1526-1739:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y212/01 ,(History) ,The American Revolution 1740-1796:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y213/01 ,(History) ,The French Revolution and the Rule of Napoleon 1774-1815:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y214/01 ,(History) ,France 1814-1870:Written Paper ,AM ,1h 00m 
6/13/2023,Jun-23,OCR ,GCE ,Y215/01 ,(History) ,Italy and Unification 1789-1896:Written Paper ,AM ,1h 00m 
